"subject","subject_label","predicate","object","object_label","sentence","source_url"
"AI","ORG","related_to","AI","GPE","The mission of the AI Index is to provide unbiased, rigorously vetted, and globally sourced data for policymakers, researchers, journalists, executives, and the general public to develop a deeper unde","https://aiindex.stanford.edu/report/"
"HAI","ORG","update","weekly","DATE","Get the latest news, advances in research, policy work, and education program updates from HAI in your inbox weekly.","https://aiindex.stanford.edu/report/"
"the The New York Times","ORG","cite","Bloomberg","GPE","Previous editions have been cited in major newspapers, including the The New York Times, Bloomberg, and The Guardian, have amassed hundreds of academic citations, and been referenced by high-level pol","https://aiindex.stanford.edu/report/"
"the The New York Times","ORG","cite","Guardian","ORG","Previous editions have been cited in major newspapers, including the The New York Times, Bloomberg, and The Guardian, have amassed hundreds of academic citations, and been referenced by high-level pol","https://aiindex.stanford.edu/report/"
"the The New York Times","ORG","cite","the United States","GPE","Previous editions have been cited in major newspapers, including the The New York Times, Bloomberg, and The Guardian, have amassed hundreds of academic citations, and been referenced by high-level pol","https://aiindex.stanford.edu/report/"
"the The New York Times","ORG","cite","the United Kingdom","GPE","Previous editions have been cited in major newspapers, including the The New York Times, Bloomberg, and The Guardian, have amassed hundreds of academic citations, and been referenced by high-level pol","https://aiindex.stanford.edu/report/"
"the The New York Times","ORG","cite","the European Union","ORG","Previous editions have been cited in major newspapers, including the The New York Times, Bloomberg, and The Guardian, have amassed hundreds of academic citations, and been referenced by high-level pol","https://aiindex.stanford.edu/report/"
"Bloomberg","GPE","cite","Guardian","ORG","Previous editions have been cited in major newspapers, including the The New York Times, Bloomberg, and The Guardian, have amassed hundreds of academic citations, and been referenced by high-level pol","https://aiindex.stanford.edu/report/"
"Bloomberg","GPE","cite","the United States","GPE","Previous editions have been cited in major newspapers, including the The New York Times, Bloomberg, and The Guardian, have amassed hundreds of academic citations, and been referenced by high-level pol","https://aiindex.stanford.edu/report/"
"Bloomberg","GPE","cite","the United Kingdom","GPE","Previous editions have been cited in major newspapers, including the The New York Times, Bloomberg, and The Guardian, have amassed hundreds of academic citations, and been referenced by high-level pol","https://aiindex.stanford.edu/report/"
"Bloomberg","GPE","cite","the European Union","ORG","Previous editions have been cited in major newspapers, including the The New York Times, Bloomberg, and The Guardian, have amassed hundreds of academic citations, and been referenced by high-level pol","https://aiindex.stanford.edu/report/"
"Guardian","ORG","cite","the United States","GPE","Previous editions have been cited in major newspapers, including the The New York Times, Bloomberg, and The Guardian, have amassed hundreds of academic citations, and been referenced by high-level pol","https://aiindex.stanford.edu/report/"
"Guardian","ORG","cite","the United Kingdom","GPE","Previous editions have been cited in major newspapers, including the The New York Times, Bloomberg, and The Guardian, have amassed hundreds of academic citations, and been referenced by high-level pol","https://aiindex.stanford.edu/report/"
